Gift: Fruit & Nut Bread [La Fabrique Arhoma],275g,$0 ,,,
Free Sample: Sour Orange (1) [Norris Grove],200g,$0 ,,,
Not So Perfect Red Beefsteak Tomatoes [Serres Lefort],454g,$1.75 ,364g,$1.40 ,($0.35)
Nantes Carrots [Jardins Glenorra],454g,$2.75 ,,,
Misfit Greens [Lufa Farms Anjou],100g,$0.75 ,,,
Misfit Greens [Lufa Farms Anjou],100g,$0.75 ,,,
Enoki Mushrooms [Morille Québec],150g,$4.50 ,,,
Yellow Onions [Bio-Saveur],908g,$3.00 ,,,
Red Potatoes [Agri-Choux],908g,$2.50 ,,,
Surprise Herbs [Lufa Farms Anjou],30g,$3.50 ,,,
Golden Delicious Apples (small) [Warner's Farm],908g,$2.50 ,,,
Hamlin Oranges (Family Size) [Seasons Farm Fresh],3632g,$7.75 ,,,
Small & Imperfect Bartlett Pears [Warner's Farm],675g,$1.75 ,,,
Lean Natural Ground Beef (fresh) [Boucherie Nordest],1000g,$12.75 ,996g,$12.70 ,($0.05)
Natural Beef Stewing Cubes (fresh) [Boucherie Nordest],500g,$10.75 ,458g,$9.85 ,($0.90)
Natural Beef Stewing Cubes (fresh) [Boucherie Nordest],500g,$10.75 ,552g,$11.87 ,$1.12 
"Natural Beef French Roast (fresh, tenderized) [Boucherie Nordest]",750g,$15.75 ,758g,$15.92 ,$0.17 
Baby Back Pork Ribs (fresh) [Boucherie Nordest],740g,$14.75 ,1028g,$20.49 ,$5.74 
Baby Back Pork Ribs (fresh) [Boucherie Nordest],740g,$14.75 ,978g,$19.49 ,$4.74 
Chicken Carcasses (frozen) [Ferme La Rose Des Vents],800g,$2.40 ,885g,$2.66 ,$0.26 
Chicken Carcasses (frozen) [Ferme La Rose Des Vents],800g,$2.40 ,715g,$2.15 ,($0.25)
Quebec Rainbow Trout Fillet (fresh) [Simmer],375g,$11.25 ,354g,$10.62 ,($0.63)
Nine Grain Bread [Boulangerie St-Méthode],600g,$3.50 ,,,
White Square Loaf [La Fabrique Arhoma],550g,$3.75 ,,,
